review_text,label
Unbelievable! top-rated product ever. Shop today quickly.,fake
"Overall, the camera works well. Unfortunately, battery issues.",genuine
Buy now: top-rated product ever. special price!,fake
I am having connectivity drops with this device. Not what I expected.,bulu bulu,genuine
I was disappointed by the connectivity drops. Hope it gets fixed.,genuine
"I've never seen such an unbeatable bargain. Get it now now, incredible item.",fake
"Great camera, however I experienced software bugs recently.",genuine
"The screen is solid, but it lack some features.",genuine
Get it now: most amazing product ever. special price!,fake
This is the most amazing product ever! Get it now for an special price.,fake
Buy now: top-rated product ever. special price!,fake
Don't miss out! limited time offer on the most amazing product ever. Order immediately.,fake
Unbelievable! most amazing product ever. Order immediately quickly.,fake
"The screen is excellent, but customer service was slow.",genuine
Shop today: best product ever. huge discount!,fake
"Overall, the battery works well. Unfortunately, battery issues.",genuine
I was disappointed by the overheating problems. I might return it.,genuine
"Overall, the battery works well. Unfortunately, battery issues.",genuine
I am having connectivity drops with this device. It's very frustrating.,genuine
"Great battery, however I experienced connectivity drops recently.",genuine
"Great user interface, however I experienced battery issues recently.",genuine
Unbelievable! top-rated product ever. Buy now quickly.,fake
"Great battery, however I experienced battery issues recently.",genuine
"The build quality is excellent, but it lack some features.",genuine
Get it now: best product ever. special price!,fake
"Overall, the battery works well. Unfortunately, overheating problems.",genuine
"I've never seen such an limited time offer. Shop today now, most amazing item.",fake
"Great build quality, however I experienced delivery delays recently.",genuine
Unbelievable! greatest product ever. Order immediately quickly.,fake
"Great battery, however I experienced battery issues recently.",genuine
"Great battery, however I experienced battery issues recently.",genuine
This is the greatest product ever! Get it now for an amazing deal.,fake
"The camera is decent, but it feels a bit heavy.",genuine
Don't miss out! limited time offer on the best product ever. Shop today.,fake
This is the top-rated product ever! Limited offer for an special price.,fake
Limited offer: best product ever. unbeatable bargain!,fake
Buy now: incredible product ever. amazing deal!,fake
"I've never seen such an unbeatable bargain. Limited offer now, incredible item.",fake
"Overall, the build quality works well. Unfortunately, software bugs.",genuine
"The build quality is solid, but it lack some features.",genuine
I was disappointed by the battery issues. It's very frustrating.,genuine
"The screen is solid, but the price is too high.",genuine
"Great build quality, however I experienced connectivity drops recently.",genuine
I was disappointed by the connectivity drops. Hope it gets fixed.,genuine
I am having connectivity drops with this device. Hope it gets fixed.,genuine
I am having software bugs with this device. Hope it gets fixed.,genuine
"Overall, the camera works well. Unfortunately, delivery delays.",genuine
